File: dedupcost-woven
Type: alloc_objects
Time: 2026-09-23 16:09:09 CEST
Active filters:
   focus=iast/database/sql.Report$
Showing nodes accounting for 38500, 35.61% of 108106 total
      flat  flat%   sum%        cum   cum%
         0     0% 21.28%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*collector).sourceIndex
         0     0% 21.28%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/evidence.CollectString.func1
         0     0% 21.28%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/redaction.alphanumericPattern
      2500  2.31% 23.59%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/redaction.buildPart
         0     0% 23.59%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/request.VisitString
         0     0% 23.59%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/request.deliverEntry
         0     0% 23.59%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/request.visitKey
         0     0% 23.59%       2500  2.31%  github.com/DataDog/dd-iast-go/internal/taint/request.visitKeyHit
      2500  2.31% 25.90%       2500  2.31%  internal/bytealg.MakeNoZero
         0     0% 25.90%       2500  2.31%  strings.(*Builder).Grow
         0     0% 25.90%       2500  2.31%  strings.(*Builder).grow
       500  0.46% 26.36%       1500  1.39%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.(*framesIterator).capture
       500  0.46% 26.83%       1500  1.39%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.iterator (inline)
         0     0% 26.83%       1000  0.93%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*Snapshot).canonicalize
      1000  0.93% 27.75%       1000  0.93%  github.com/DataDog/dd-iast-go/internal/taint/redaction.scanOracleQuotes
       500  0.46% 28.21%       1000  0.93%  github.com/DataDog/dd-iast-go/internal/vulnerability.locationFromTrace
      1000  0.93% 29.14%       1000  0.93%  github.com/DataDog/dd-trace-go/v2/internal/stacktrace.newQueue[go.shape.struct { PC uintptr; Func *runtime.Func; Function string; File string; Line int; runtime.startLine int; Entry uintptr; runtime.funcInfo runtime.funcInfo }] (inline)
         0     0% 29.14%       1000  0.93%  github.com/google/uuid.NewString
       500  0.46% 29.60%        500  0.46%  github.com/DataDog/dd-iast-go/internal/model.NewEvidenceTaintedValue (inline)
         0     0% 29.60%        500  0.46%  github.com/DataDog/dd-iast-go/internal/model.NewVulnerability
       500  0.46% 30.06%        500  0.46%  github.com/DataDog/dd-iast-go/internal/taint/evidence.(*Snapshot).buildParts
