fuzz: elapsed: 0s, gathering baseline coverage: 0/47 completed
fuzz: elapsed: 0s, gathering baseline coverage: 47/47 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 331441 (110453/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 6s, execs: 636159 (101531/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 9s, execs: 932881 (98864/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 12s, execs: 1218617 (95322/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 15s, execs: 1506480 (95935/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 18s, execs: 1797125 (96916/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 21s, execs: 1976439 (59742/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 24s, execs: 2182454 (68691/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 27s, execs: 2264451 (27339/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 30s, execs: 2478497 (71327/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 33s, execs: 2741601 (87705/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 36s, execs: 2996516 (84988/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 39s, execs: 3184008 (62478/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 42s, execs: 3354626 (56896/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 45s, execs: 3471025 (38771/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 48s, execs: 3564683 (31223/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 51s, execs: 3680192 (38500/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 54s, execs: 3822967 (47626/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 57s, execs: 3936105 (37707/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m0s, execs: 4044359 (36084/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m3s, execs: 4236321 (63987/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m6s, execs: 4494878 (86160/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m9s, execs: 4583918 (29672/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m12s, execs: 4682312 (32810/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m15s, execs: 4870734 (62829/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m18s, execs: 5039515 (56226/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m21s, execs: 5264343 (74962/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m24s, execs: 5533594 (89772/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m27s, execs: 5820294 (95513/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m30s, execs: 6066625 (82147/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m33s, execs: 6316403 (83245/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m36s, execs: 6527938 (70504/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m39s, execs: 6710425 (60860/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m42s, execs: 6900187 (63249/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m45s, execs: 7109688 (69694/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m48s, execs: 7345424 (78704/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m51s, execs: 7533159 (62600/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m54s, execs: 7727874 (64906/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 1m57s, execs: 7803683 (25274/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 2m0s, execs: 7911660 (35970/sec), new interesting: 0 (total: 47)
fuzz: elapsed: 2m3s, execs: 7969905 (19425/sec), new interesting: 0 (total: 47)
