fuzz: elapsed: 0s, gathering baseline coverage: 0/3 completed
fuzz: elapsed: 0s, gathering baseline coverage: 3/3 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 61506 (20500/sec), new interesting: 173 (total: 176)
fuzz: elapsed: 6s, execs: 138762 (25730/sec), new interesting: 183 (total: 186)
fuzz: elapsed: 9s, execs: 202978 (21423/sec), new interesting: 186 (total: 189)
fuzz: elapsed: 12s, execs: 250772 (15923/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 15s, execs: 323666 (24294/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 18s, execs: 373012 (16461/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 21s, execs: 409603 (12193/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 24s, execs: 425371 (5258/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 27s, execs: 451598 (8743/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 30s, execs: 491935 (13435/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 33s, execs: 537411 (15170/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 36s, execs: 587504 (16699/sec), new interesting: 188 (total: 191)
fuzz: elapsed: 39s, execs: 638210 (16901/sec), new interesting: 189 (total: 192)
fuzz: elapsed: 42s, execs: 677293 (13027/sec), new interesting: 189 (total: 192)
fuzz: elapsed: 45s, execs: 695160 (5947/sec), new interesting: 189 (total: 192)
fuzz: elapsed: 48s, execs: 711274 (5363/sec), new interesting: 189 (total: 192)
fuzz: elapsed: 51s, execs: 729532 (6102/sec), new interesting: 190 (total: 193)
fuzz: elapsed: 54s, execs: 756230 (8900/sec), new interesting: 190 (total: 193)
fuzz: elapsed: 57s, execs: 794577 (12778/sec), new interesting: 190 (total: 193)
fuzz: elapsed: 1m0s, execs: 824081 (9841/sec), new interesting: 190 (total: 193)
fuzz: elapsed: 1m3s, execs: 858101 (11335/sec), new interesting: 190 (total: 193)
fuzz: elapsed: 1m6s, execs: 1062041 (67987/sec), new interesting: 191 (total: 194)
fuzz: elapsed: 1m9s, execs: 1125862 (21281/sec), new interesting: 192 (total: 195)
fuzz: elapsed: 1m12s, execs: 1185910 (20011/sec), new interesting: 192 (total: 195)
fuzz: elapsed: 1m15s, execs: 1230259 (14787/sec), new interesting: 192 (total: 195)
fuzz: elapsed: 1m18s, execs: 1276712 (15483/sec), new interesting: 192 (total: 195)
fuzz: elapsed: 1m21s, execs: 1313320 (12195/sec), new interesting: 193 (total: 196)
fuzz: elapsed: 1m24s, execs: 1376827 (21176/sec), new interesting: 193 (total: 196)
fuzz: elapsed: 1m27s, execs: 1450738 (24633/sec), new interesting: 193 (total: 196)
fuzz: elapsed: 1m30s, execs: 1486443 (11898/sec), new interesting: 193 (total: 196)
fuzz: elapsed: 1m33s, execs: 1504819 (6130/sec), new interesting: 193 (total: 196)
fuzz: elapsed: 1m36s, execs: 1550629 (15264/sec), new interesting: 194 (total: 197)
fuzz: elapsed: 1m39s, execs: 1599258 (16196/sec), new interesting: 195 (total: 198)
fuzz: elapsed: 1m42s, execs: 1660523 (20447/sec), new interesting: 195 (total: 198)
fuzz: elapsed: 1m45s, execs: 1733873 (24443/sec), new interesting: 196 (total: 199)
fuzz: elapsed: 1m48s, execs: 1793550 (19900/sec), new interesting: 196 (total: 199)
fuzz: elapsed: 1m51s, execs: 1835626 (14022/sec), new interesting: 196 (total: 199)
fuzz: elapsed: 1m54s, execs: 1883499 (15951/sec), new interesting: 196 (total: 199)
