fuzz: elapsed: 0s, gathering baseline coverage: 0/9 completed
fuzz: elapsed: 3m27s, execs: 9956375 (20426/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m30s, execs: 10073446 (39034/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m33s, execs: 10174720 (33748/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m36s, execs: 10274388 (33234/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m39s, execs: 10416308 (47288/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m42s, execs: 10536342 (40018/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m45s, execs: 10703939 (55879/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m48s, execs: 10830222 (42091/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m51s, execs: 10975258 (48341/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m54s, execs: 11144712 (56489/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 3m57s, execs: 11243435 (32889/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m0s, execs: 11281945 (12844/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m3s, execs: 11314810 (10953/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m6s, execs: 11355878 (13688/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m9s, execs: 11407057 (17058/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m12s, execs: 11485704 (26218/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m15s, execs: 11555605 (23301/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m18s, execs: 11616138 (20182/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m21s, execs: 11703635 (29169/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m24s, execs: 11788966 (28428/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m27s, execs: 11834614 (15208/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m30s, execs: 11883503 (16304/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m33s, execs: 11948687 (21737/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m36s, execs: 11990556 (13950/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m39s, execs: 12033795 (14420/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m42s, execs: 12089434 (18548/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m45s, execs: 12188145 (32904/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m48s, execs: 12303250 (38348/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m51s, execs: 12469984 (55612/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m54s, execs: 12611672 (47201/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 4m57s, execs: 12731480 (39939/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m0s, execs: 12870171 (46240/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m3s, execs: 13072171 (67320/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m6s, execs: 13218578 (48807/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m9s, execs: 13326710 (36057/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m12s, execs: 13458860 (44020/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m15s, execs: 13536263 (25815/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m18s, execs: 13579788 (14505/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m21s, execs: 13664131 (28127/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m24s, execs: 13782506 (39402/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m27s, execs: 13906630 (41379/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m30s, execs: 13966805 (20077/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m33s, execs: 14020396 (17864/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m36s, execs: 14064192 (14603/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m39s, execs: 14118960 (18226/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m42s, execs: 14180631 (20586/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m45s, execs: 14244759 (21370/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m48s, execs: 14310844 (22034/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m51s, execs: 14367228 (18795/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m54s, execs: 14427222 (19979/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 5m57s, execs: 14499486 (24101/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m0s, execs: 14574837 (25136/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m3s, execs: 14662013 (29040/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m6s, execs: 14743458 (27151/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m9s, execs: 14797217 (17908/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m12s, execs: 14840023 (14279/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m15s, execs: 14877102 (12344/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m18s, execs: 14933543 (18832/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m21s, execs: 15013764 (26760/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m24s, execs: 15078663 (21615/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m27s, execs: 15175897 (32428/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m30s, execs: 15320791 (48276/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m33s, execs: 15355938 (11721/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m36s, execs: 15394699 (12921/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m39s, execs: 15443978 (16424/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m42s, execs: 15556482 (37505/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m45s, execs: 15688798 (44110/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m48s, execs: 15867309 (59501/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m51s, execs: 16002777 (45147/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m54s, execs: 16134466 (43912/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 6m57s, execs: 16239829 (35118/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m0s, execs: 16276531 (12233/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m3s, execs: 16391794 (38427/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m6s, execs: 16495174 (34456/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m9s, execs: 16539835 (14888/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m12s, execs: 16586666 (15610/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m15s, execs: 16625730 (13021/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m18s, execs: 16662653 (12301/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m21s, execs: 16710381 (15917/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m24s, execs: 16753478 (14327/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m27s, execs: 16867200 (38015/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m30s, execs: 16990193 (40976/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m33s, execs: 17113885 (41238/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m36s, execs: 17298065 (61421/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m39s, execs: 17493269 (65065/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m42s, execs: 17665402 (57369/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m45s, execs: 17859598 (64712/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m48s, execs: 18044039 (61493/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m51s, execs: 18233406 (63130/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m54s, execs: 18420320 (62275/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 7m57s, execs: 18606204 (61975/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m0s, execs: 18810581 (68058/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m3s, execs: 18950052 (46533/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m6s, execs: 19089268 (46429/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m9s, execs: 19225326 (45311/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m12s, execs: 19338282 (37661/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m15s, execs: 19457094 (39633/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m18s, execs: 19574471 (39113/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m21s, execs: 19695502 (40331/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m24s, execs: 19821923 (42168/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m27s, execs: 19929960 (36011/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m30s, execs: 20011161 (27061/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m33s, execs: 20137416 (42095/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m36s, execs: 20238476 (33680/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m39s, execs: 20296616 (19383/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m42s, execs: 20336624 (13335/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m45s, execs: 20387680 (16994/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m48s, execs: 20472994 (28483/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m51s, execs: 20588375 (38443/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m54s, execs: 20695000 (35542/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 8m57s, execs: 20818730 (41236/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m0s, execs: 20973181 (51512/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m3s, execs: 21064845 (30527/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m6s, execs: 21109543 (14907/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m9s, execs: 21161694 (17381/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m12s, execs: 21259643 (32663/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m15s, execs: 21408566 (49647/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m18s, execs: 21538337 (43249/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m21s, execs: 21652204 (37953/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m24s, execs: 21810591 (52784/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m27s, execs: 21969818 (53099/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m30s, execs: 22119834 (49991/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m33s, execs: 22243180 (41108/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m36s, execs: 22353613 (36819/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m39s, execs: 22479226 (41874/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m42s, execs: 22617749 (46154/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m45s, execs: 22793032 (58430/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m48s, execs: 22876787 (27931/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m51s, execs: 22921181 (14795/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m54s, execs: 22998565 (25804/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 9m57s, execs: 23110966 (37435/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 10m0s, execs: 23241168 (43433/sec), new interesting: 0 (total: 9)
fuzz: elapsed: 10m0s, execs: 23241168 (0/sec), new interesting: 0 (total: 9)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/ranges	600.568s
exit=0
