fuzz: elapsed: 0s, gathering baseline coverage: 0/3 completed
fuzz: elapsed: 3m30s, execs: 3186300 (21221/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m33s, execs: 3249341 (21009/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m36s, execs: 3299594 (16750/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m39s, execs: 3349794 (16738/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m42s, execs: 3375015 (8405/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m45s, execs: 3383968 (2980/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m48s, execs: 3405109 (7056/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m51s, execs: 3448973 (14621/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m54s, execs: 3502617 (17887/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 3m57s, execs: 3556420 (17928/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m0s, execs: 3607820 (17139/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m3s, execs: 3655444 (15873/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m6s, execs: 3700520 (15026/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m9s, execs: 3742756 (14075/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m12s, execs: 3782315 (13186/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m15s, execs: 3839493 (19060/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m18s, execs: 3897190 (19232/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m21s, execs: 3950806 (17872/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m24s, execs: 4006170 (18455/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m27s, execs: 4054019 (15947/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m30s, execs: 4100694 (15561/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m33s, execs: 4140732 (13346/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m36s, execs: 4176729 (11992/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m39s, execs: 4193076 (5449/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m42s, execs: 4202869 (3266/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m45s, execs: 4221479 (6205/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m48s, execs: 4263263 (13925/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m51s, execs: 4313229 (16655/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m54s, execs: 4375654 (20808/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 4m57s, execs: 4432448 (18935/sec), new interesting: 32 (total: 35)
fuzz: elapsed: 5m0s, execs: 4464031 (10519/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m3s, execs: 4491316 (9092/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m6s, execs: 4516580 (8432/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m9s, execs: 4557016 (13476/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 5m12s, execs: 4598437 (13808/sec), new interesting: 33 (total: 36)
