go version go1.26.6 darwin/arm64
fuzz: elapsed: 0s, gathering baseline coverage: 0/4 completed
fuzz: elapsed: 3m30s, execs: 1705089 (8380/sec), new interesting: 300 (total: 304)
fuzz: elapsed: 3m33s, execs: 1724490 (6416/sec), new interesting: 301 (total: 305)
fuzz: elapsed: 3m36s, execs: 1738671 (4767/sec), new interesting: 301 (total: 305)
fuzz: elapsed: 3m39s, execs: 1746992 (2772/sec), new interesting: 301 (total: 305)
fuzz: elapsed: 3m42s, execs: 1759219 (4078/sec), new interesting: 301 (total: 305)
fuzz: elapsed: 3m45s, execs: 1776668 (5814/sec), new interesting: 301 (total: 305)
fuzz: elapsed: 3m48s, execs: 1806557 (9967/sec), new interesting: 302 (total: 306)
fuzz: elapsed: 3m51s, execs: 1831368 (8271/sec), new interesting: 302 (total: 306)
fuzz: elapsed: 3m54s, execs: 1850128 (6252/sec), new interesting: 302 (total: 306)
fuzz: elapsed: 3m57s, execs: 1870475 (6782/sec), new interesting: 302 (total: 306)
fuzz: elapsed: 4m0s, execs: 1890550 (6688/sec), new interesting: 302 (total: 306)
fuzz: elapsed: 4m3s, execs: 1915286 (8252/sec), new interesting: 302 (total: 306)
fuzz: elapsed: 4m6s, execs: 1943790 (9494/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m9s, execs: 1974230 (10154/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m12s, execs: 2003611 (9794/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m15s, execs: 2032151 (9516/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m18s, execs: 2065710 (11183/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m21s, execs: 2092421 (8906/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m24s, execs: 2115139 (7573/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m27s, execs: 2139189 (8016/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m30s, execs: 2163069 (7960/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m33s, execs: 2187703 (8210/sec), new interesting: 303 (total: 307)
fuzz: elapsed: 4m36s, execs: 2212228 (8176/sec), new interesting: 304 (total: 308)
fuzz: elapsed: 4m39s, execs: 2236719 (8163/sec), new interesting: 304 (total: 308)
fuzz: elapsed: 4m42s, execs: 2264356 (9215/sec), new interesting: 307 (total: 311)
fuzz: elapsed: 4m45s, execs: 2288636 (8093/sec), new interesting: 309 (total: 313)
fuzz: elapsed: 4m48s, execs: 2317452 (9597/sec), new interesting: 309 (total: 313)
fuzz: elapsed: 4m51s, execs: 2350103 (10890/sec), new interesting: 309 (total: 313)
fuzz: elapsed: 4m54s, execs: 2372114 (7337/sec), new interesting: 309 (total: 313)
fuzz: elapsed: 4m57s, execs: 2389531 (5805/sec), new interesting: 311 (total: 315)
fuzz: elapsed: 5m0s, execs: 2396928 (2466/sec), new interesting: 311 (total: 315)
fuzz: elapsed: 5m3s, execs: 2407284 (3453/sec), new interesting: 311 (total: 315)
fuzz: elapsed: 5m6s, execs: 2425176 (5964/sec), new interesting: 311 (total: 315)
fuzz: elapsed: 5m9s, execs: 2448343 (7723/sec), new interesting: 311 (total: 315)
fuzz: elapsed: 5m12s, execs: 2474629 (8759/sec), new interesting: 311 (total: 315)
fuzz: elapsed: 5m15s, execs: 2496196 (7185/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m18s, execs: 2503359 (2389/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m21s, execs: 2520093 (5577/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m24s, execs: 2529046 (2984/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m27s, execs: 2532655 (1203/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m30s, execs: 2536408 (1251/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m33s, execs: 2540475 (1356/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m36s, execs: 2544318 (1280/sec), new interesting: 312 (total: 316)
fuzz: elapsed: 5m39s, execs: 2547597 (1093/sec), new interesting: 312 (total: 316)
