go version go1.26.6 darwin/arm64
fuzz: elapsed: 1s, gathering baseline coverage: 0/1178 completed
fuzz: elapsed: 3m25s, execs: 1820247 (9308/sec), new interesting: 174 (total: 1352)
fuzz: elapsed: 3m28s, execs: 1848901 (9549/sec), new interesting: 175 (total: 1353)
fuzz: elapsed: 3m31s, execs: 1875457 (8852/sec), new interesting: 175 (total: 1353)
fuzz: elapsed: 3m34s, execs: 1901961 (8837/sec), new interesting: 176 (total: 1354)
fuzz: elapsed: 3m37s, execs: 1928528 (8853/sec), new interesting: 176 (total: 1354)
fuzz: elapsed: 3m40s, execs: 1950929 (7469/sec), new interesting: 179 (total: 1357)
fuzz: elapsed: 3m43s, execs: 1973556 (7543/sec), new interesting: 181 (total: 1359)
fuzz: elapsed: 3m46s, execs: 1994135 (6858/sec), new interesting: 182 (total: 1360)
fuzz: elapsed: 3m49s, execs: 2023419 (9761/sec), new interesting: 183 (total: 1361)
fuzz: elapsed: 3m52s, execs: 2052521 (9701/sec), new interesting: 183 (total: 1361)
fuzz: elapsed: 3m55s, execs: 2081262 (9581/sec), new interesting: 183 (total: 1361)
fuzz: elapsed: 3m58s, execs: 2109342 (9362/sec), new interesting: 185 (total: 1363)
fuzz: elapsed: 4m1s, execs: 2136948 (9201/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m4s, execs: 2164330 (9126/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m7s, execs: 2193075 (9582/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m10s, execs: 2221190 (9372/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m13s, execs: 2249689 (9501/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m16s, execs: 2273808 (8039/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m19s, execs: 2300401 (8864/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m22s, execs: 2327729 (9109/sec), new interesting: 186 (total: 1364)
fuzz: elapsed: 4m25s, execs: 2356190 (9490/sec), new interesting: 187 (total: 1365)
fuzz: elapsed: 4m28s, execs: 2384143 (9316/sec), new interesting: 187 (total: 1365)
fuzz: elapsed: 4m31s, execs: 2412074 (9310/sec), new interesting: 189 (total: 1367)
fuzz: elapsed: 4m34s, execs: 2440965 (9630/sec), new interesting: 189 (total: 1367)
fuzz: elapsed: 4m37s, execs: 2469914 (9650/sec), new interesting: 189 (total: 1367)
fuzz: elapsed: 4m40s, execs: 2496666 (8917/sec), new interesting: 189 (total: 1367)
fuzz: elapsed: 4m43s, execs: 2525581 (9638/sec), new interesting: 189 (total: 1367)
fuzz: elapsed: 4m46s, execs: 2552911 (9111/sec), new interesting: 189 (total: 1367)
fuzz: elapsed: 4m49s, execs: 2581616 (9567/sec), new interesting: 190 (total: 1368)
fuzz: elapsed: 4m52s, execs: 2609167 (9185/sec), new interesting: 192 (total: 1370)
fuzz: elapsed: 4m55s, execs: 2638886 (9904/sec), new interesting: 194 (total: 1372)
fuzz: elapsed: 4m58s, execs: 2668722 (9945/sec), new interesting: 194 (total: 1372)
fuzz: elapsed: 5m1s, execs: 2696978 (9419/sec), new interesting: 194 (total: 1372)
fuzz: elapsed: 5m4s, execs: 2725118 (9381/sec), new interesting: 194 (total: 1372)
fuzz: elapsed: 5m7s, execs: 2753786 (9556/sec), new interesting: 195 (total: 1373)
fuzz: elapsed: 5m10s, execs: 2781115 (9110/sec), new interesting: 195 (total: 1373)
fuzz: elapsed: 5m13s, execs: 2810204 (9696/sec), new interesting: 195 (total: 1373)
fuzz: elapsed: 5m16s, execs: 2838488 (9431/sec), new interesting: 196 (total: 1374)
fuzz: elapsed: 5m19s, execs: 2865799 (9100/sec), new interesting: 196 (total: 1374)
fuzz: elapsed: 5m22s, execs: 2890652 (8285/sec), new interesting: 196 (total: 1374)
fuzz: elapsed: 5m25s, execs: 2918275 (9208/sec), new interesting: 196 (total: 1374)
fuzz: elapsed: 5m28s, execs: 2948179 (9971/sec), new interesting: 196 (total: 1374)
fuzz: elapsed: 5m31s, execs: 2975472 (9095/sec), new interesting: 197 (total: 1375)
fuzz: elapsed: 5m34s, execs: 3004696 (9741/sec), new interesting: 197 (total: 1375)
fuzz: elapsed: 5m37s, execs: 3032214 (9173/sec), new interesting: 197 (total: 1375)
fuzz: elapsed: 5m40s, execs: 3061836 (9874/sec), new interesting: 197 (total: 1375)
fuzz: elapsed: 5m43s, execs: 3090525 (9563/sec), new interesting: 197 (total: 1375)
fuzz: elapsed: 5m46s, execs: 3117948 (9143/sec), new interesting: 197 (total: 1375)
fuzz: elapsed: 5m49s, execs: 3147204 (9750/sec), new interesting: 198 (total: 1376)
fuzz: elapsed: 5m52s, execs: 3173887 (8894/sec), new interesting: 199 (total: 1377)
fuzz: elapsed: 5m55s, execs: 3201647 (9255/sec), new interesting: 199 (total: 1377)
fuzz: elapsed: 5m58s, execs: 3229823 (9390/sec), new interesting: 202 (total: 1380)
fuzz: elapsed: 6m1s, execs: 3258287 (9488/sec), new interesting: 203 (total: 1381)
fuzz: elapsed: 6m4s, execs: 3287642 (9785/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m7s, execs: 3315856 (9407/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m10s, execs: 3343734 (9293/sec), new interesting: 204 (total: 1382)
fuzz: elapsed: 6m13s, execs: 3372706 (9654/sec), new interesting: 204 (total: 1382)
