fuzz: elapsed: 0s, gathering baseline coverage: 0/740 completed
fuzz: elapsed: 1s, gathering baseline coverage: 740/740 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 110152 (36710/sec), new interesting: 7 (total: 747)
fuzz: elapsed: 6s, execs: 256996 (48942/sec), new interesting: 18 (total: 758)
fuzz: elapsed: 9s, execs: 428596 (57216/sec), new interesting: 21 (total: 761)
fuzz: elapsed: 12s, execs: 560201 (43858/sec), new interesting: 29 (total: 769)
fuzz: elapsed: 15s, execs: 664705 (34838/sec), new interesting: 31 (total: 771)
fuzz: elapsed: 18s, execs: 808849 (48054/sec), new interesting: 34 (total: 774)
fuzz: elapsed: 21s, execs: 936290 (42470/sec), new interesting: 39 (total: 779)
fuzz: elapsed: 24s, execs: 1040319 (34666/sec), new interesting: 43 (total: 783)
fuzz: elapsed: 27s, execs: 1176008 (45254/sec), new interesting: 43 (total: 783)
fuzz: elapsed: 30s, execs: 1326810 (50254/sec), new interesting: 45 (total: 785)
fuzz: elapsed: 33s, execs: 1476461 (49895/sec), new interesting: 47 (total: 787)
fuzz: elapsed: 36s, execs: 1639790 (54444/sec), new interesting: 48 (total: 788)
fuzz: elapsed: 39s, execs: 1808580 (56263/sec), new interesting: 49 (total: 789)
fuzz: elapsed: 42s, execs: 1941551 (44310/sec), new interesting: 53 (total: 793)
fuzz: elapsed: 45s, execs: 2064111 (40853/sec), new interesting: 56 (total: 796)
fuzz: elapsed: 48s, execs: 2282671 (72807/sec), new interesting: 60 (total: 800)
fuzz: elapsed: 51s, execs: 2442931 (53468/sec), new interesting: 62 (total: 802)
fuzz: elapsed: 54s, execs: 2609600 (55543/sec), new interesting: 64 (total: 804)
fuzz: elapsed: 57s, execs: 2776186 (55528/sec), new interesting: 65 (total: 805)
fuzz: elapsed: 1m0s, execs: 2944975 (56281/sec), new interesting: 65 (total: 805)
fuzz: elapsed: 1m3s, execs: 3083348 (46109/sec), new interesting: 65 (total: 805)
fuzz: elapsed: 1m6s, execs: 3256269 (57656/sec), new interesting: 73 (total: 813)
fuzz: elapsed: 1m9s, execs: 3390843 (44846/sec), new interesting: 76 (total: 816)
fuzz: elapsed: 1m12s, execs: 3592818 (67325/sec), new interesting: 78 (total: 818)
fuzz: elapsed: 1m15s, execs: 3764271 (57151/sec), new interesting: 80 (total: 820)
fuzz: elapsed: 1m18s, execs: 3933488 (56406/sec), new interesting: 80 (total: 820)
fuzz: elapsed: 1m21s, execs: 4107502 (58005/sec), new interesting: 80 (total: 820)
fuzz: elapsed: 1m24s, execs: 4232898 (41807/sec), new interesting: 82 (total: 822)
