fuzz: elapsed: 0s, gathering baseline coverage: 0/2 completed
fuzz: elapsed: 3m30s, execs: 7905864 (45574/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m33s, execs: 8070981 (55045/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m36s, execs: 8231828 (53601/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m39s, execs: 8370129 (46112/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m42s, execs: 8515867 (48571/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m45s, execs: 8633495 (39166/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m48s, execs: 8737263 (34631/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m51s, execs: 8821254 (27998/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m54s, execs: 8885964 (21564/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 3m57s, execs: 8925766 (13269/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m0s, execs: 8988741 (20988/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m3s, execs: 9002250 (4504/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m6s, execs: 9023207 (6982/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m9s, execs: 9049829 (8874/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m12s, execs: 9065925 (5367/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m15s, execs: 9087460 (7164/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m18s, execs: 9149602 (20757/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m21s, execs: 9223921 (24773/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m24s, execs: 9256763 (10928/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m27s, execs: 9285462 (9568/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m30s, execs: 9314451 (9676/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m33s, execs: 9342329 (9297/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m36s, execs: 9379355 (12324/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m39s, execs: 9449383 (23373/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m42s, execs: 9515396 (21996/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m45s, execs: 9582252 (22296/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m48s, execs: 9697074 (38125/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m51s, execs: 9713198 (5393/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m54s, execs: 9740148 (8985/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 4m57s, execs: 9764185 (8014/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m0s, execs: 9785476 (7097/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m3s, execs: 9817421 (10648/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m6s, execs: 9850418 (10996/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m9s, execs: 9892603 (14067/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m12s, execs: 9945481 (17624/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m15s, execs: 9989735 (14751/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m18s, execs: 10047119 (19128/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m21s, execs: 10127743 (26809/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m24s, execs: 10201783 (24737/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m27s, execs: 10242746 (13646/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m30s, execs: 10269966 (9079/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m33s, execs: 10316361 (15465/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m36s, execs: 10382699 (22114/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m39s, execs: 10407331 (8210/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m42s, execs: 10431081 (7916/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m45s, execs: 10461096 (10000/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m48s, execs: 10486661 (8526/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m51s, execs: 10517009 (10113/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m54s, execs: 10554131 (12378/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 5m57s, execs: 10589284 (11718/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m0s, execs: 10641382 (17366/sec), new interesting: 135 (total: 137)
fuzz: elapsed: 6m3s, execs: 10711054 (23227/sec), new interesting: 135 (total: 137)
