fuzz: elapsed: 0s, gathering baseline coverage: 0/6 completed
fuzz: elapsed: 3m36s, execs: 600614 (441/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m39s, execs: 619062 (6150/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m42s, execs: 631620 (4186/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m45s, execs: 636509 (1630/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m48s, execs: 636509 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m51s, execs: 636509 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m54s, execs: 636509 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 3m57s, execs: 636509 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m0s, execs: 636509 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m3s, execs: 636509 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m6s, execs: 640255 (1249/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m9s, execs: 648403 (2715/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m12s, execs: 663541 (5048/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m15s, execs: 686156 (7536/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m18s, execs: 700487 (4778/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m21s, execs: 700487 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m24s, execs: 700487 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m27s, execs: 700487 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m30s, execs: 700487 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m33s, execs: 700487 (0/sec), new interesting: 25 (total: 31)
fuzz: elapsed: 4m36s, execs: 700929 (147/sec), new interesting: 26 (total: 32)
fuzz: elapsed: 4m39s, execs: 711371 (3482/sec), new interesting: 26 (total: 32)
fuzz: elapsed: 4m42s, execs: 715784 (1470/sec), new interesting: 26 (total: 32)
fuzz: elapsed: 4m45s, execs: 721583 (1933/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 4m48s, execs: 734379 (4266/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 4m51s, execs: 744975 (3532/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 4m54s, execs: 756160 (3727/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 4m57s, execs: 766365 (3403/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 5m0s, execs: 777485 (3705/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 5m3s, execs: 790885 (4468/sec), new interesting: 27 (total: 33)
fuzz: elapsed: 5m6s, execs: 798464 (2526/sec), new interesting: 28 (total: 34)
fuzz: elapsed: 5m9s, execs: 807468 (3002/sec), new interesting: 28 (total: 34)
fuzz: elapsed: 5m12s, execs: 816319 (2950/sec), new interesting: 28 (total: 34)
fuzz: elapsed: 5m15s, execs: 822248 (1976/sec), new interesting: 28 (total: 34)
fuzz: elapsed: 5m18s, execs: 833067 (3607/sec), new interesting: 28 (total: 34)
fuzz: elapsed: 5m21s, execs: 855433 (7449/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m24s, execs: 874412 (6333/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m27s, execs: 882016 (2535/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m30s, execs: 897335 (5106/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m33s, execs: 917824 (6827/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m36s, execs: 932787 (4987/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m39s, execs: 943876 (3698/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m42s, execs: 959145 (5091/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m45s, execs: 989845 (10235/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m48s, execs: 1025441 (11863/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m51s, execs: 1054570 (9708/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m54s, execs: 1076571 (7335/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 5m57s, execs: 1103826 (9063/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 6m0s, execs: 1125357 (7190/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 6m3s, execs: 1145736 (6797/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 6m6s, execs: 1171210 (8492/sec), new interesting: 29 (total: 35)
fuzz: elapsed: 6m9s, execs: 1192122 (6972/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m12s, execs: 1218636 (8838/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m15s, execs: 1249455 (10270/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m18s, execs: 1282819 (11123/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m21s, execs: 1321389 (12854/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m24s, execs: 1356481 (11701/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m27s, execs: 1388838 (10779/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m30s, execs: 1418201 (9790/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m33s, execs: 1451684 (11165/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m36s, execs: 1490244 (12850/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m39s, execs: 1530480 (13413/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m42s, execs: 1568240 (12586/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m45s, execs: 1602962 (11575/sec), new interesting: 30 (total: 36)
fuzz: elapsed: 6m48s, execs: 1637356 (11464/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 6m51s, execs: 1658110 (6915/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 6m54s, execs: 1672670 (4855/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 6m57s, execs: 1686107 (4479/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m0s, execs: 1709840 (7898/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m3s, execs: 1737189 (9132/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m6s, execs: 1760990 (7935/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m9s, execs: 1787700 (8904/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m12s, execs: 1820427 (10895/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m15s, execs: 1850504 (10036/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m18s, execs: 1882489 (10662/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m21s, execs: 1895237 (4250/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m24s, execs: 1904324 (3027/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m27s, execs: 1913715 (3132/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m30s, execs: 1919899 (2061/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m33s, execs: 1937369 (5825/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m36s, execs: 1952222 (4952/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m39s, execs: 1965666 (4481/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m42s, execs: 1982229 (5519/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m45s, execs: 1998817 (5532/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m48s, execs: 2030351 (10508/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m51s, execs: 2062531 (10716/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m54s, execs: 2095152 (10878/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 7m57s, execs: 2125131 (9999/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 8m0s, execs: 2155383 (10087/sec), new interesting: 31 (total: 37)
fuzz: elapsed: 8m0s, execs: 2155383 (0/sec), new interesting: 31 (total: 37)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/request	480.751s
EXIT=0
