fuzz: elapsed: 0s, gathering baseline coverage: 0/14 completed
fuzz: elapsed: 0s, gathering baseline coverage: 14/14 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 10744 (3580/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 6s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 9s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 12s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 15s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 18s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 21s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 24s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 27s, execs: 10744 (0/sec), new interesting: 0 (total: 14)
fuzz: elapsed: 30s, execs: 2196626 (728827/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 33s, execs: 2309804 (37716/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 36s, execs: 2413788 (34661/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 39s, execs: 2521111 (35786/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 42s, execs: 2628836 (35906/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 45s, execs: 2707756 (26304/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 48s, execs: 2796480 (29571/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 51s, execs: 2904359 (35959/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 54s, execs: 2998853 (31497/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 57s, execs: 3591066 (197397/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m0s, execs: 3668376 (25769/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m3s, execs: 3754659 (28763/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m6s, execs: 3872501 (39282/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m9s, execs: 3998900 (42134/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m12s, execs: 4135015 (45371/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m15s, execs: 4250996 (38668/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m18s, execs: 4299657 (16221/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m21s, execs: 4339781 (13373/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m24s, execs: 4395057 (18419/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m27s, execs: 4422834 (9264/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m30s, execs: 4441056 (6072/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m33s, execs: 4459594 (6182/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m36s, execs: 4477246 (5883/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m39s, execs: 4493286 (5345/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m42s, execs: 4520050 (8924/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m45s, execs: 4539433 (6459/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m48s, execs: 4571257 (10609/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m51s, execs: 4590680 (6475/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m54s, execs: 4606775 (5365/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 1m57s, execs: 4631137 (8122/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m0s, execs: 4668178 (12345/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m3s, execs: 4698573 (10130/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m6s, execs: 4723054 (8161/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m9s, execs: 4746132 (7689/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m12s, execs: 4770111 (7997/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m15s, execs: 4793050 (7649/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m18s, execs: 4817617 (8187/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m21s, execs: 4843412 (8599/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m24s, execs: 4870561 (9049/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m27s, execs: 4901249 (10229/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m30s, execs: 4931814 (10191/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m33s, execs: 4969682 (12620/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m36s, execs: 5014057 (14796/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m39s, execs: 5052875 (12935/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m42s, execs: 5102313 (16479/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m45s, execs: 5140144 (12613/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m48s, execs: 5174682 (11514/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m51s, execs: 5202492 (9268/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m54s, execs: 5229670 (9054/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 2m57s, execs: 5265591 (11982/sec), new interesting: 1 (total: 15)
fuzz: elapsed: 3m0s, execs: 5300406 (11604/sec), new interesting: 1 (total: 15)
