fuzz: elapsed: 0s, gathering baseline coverage: 0/327 completed
fuzz: elapsed: 3m30s, execs: 1343435 (3765/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m33s, execs: 1355152 (3907/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m36s, execs: 1371644 (5498/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m39s, execs: 1384332 (4229/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m42s, execs: 1394483 (3384/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m45s, execs: 1405403 (3640/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m48s, execs: 1416993 (3864/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m51s, execs: 1429777 (4261/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m54s, execs: 1455608 (8596/sec), new interesting: 31 (total: 358)
fuzz: elapsed: 3m57s, execs: 1495922 (13460/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m0s, execs: 1540675 (14919/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m3s, execs: 1577492 (12274/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m6s, execs: 1618836 (13778/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m9s, execs: 1658950 (13376/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m12s, execs: 1700069 (13706/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m15s, execs: 1745603 (15179/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m18s, execs: 1791093 (15160/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m21s, execs: 1843897 (17599/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m24s, execs: 1891716 (15939/sec), new interesting: 32 (total: 359)
fuzz: elapsed: 4m27s, execs: 1934604 (14295/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m30s, execs: 1981560 (15647/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m33s, execs: 2028854 (15775/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m36s, execs: 2065108 (12084/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m39s, execs: 2102270 (12384/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m42s, execs: 2140170 (12637/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m45s, execs: 2167606 (9143/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m48s, execs: 2201193 (11196/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m51s, execs: 2241590 (13469/sec), new interesting: 33 (total: 360)
fuzz: elapsed: 4m54s, execs: 2263859 (7423/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 4m57s, execs: 2276085 (4075/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m0s, execs: 2292624 (5512/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m3s, execs: 2303819 (3727/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m6s, execs: 2311945 (2712/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m9s, execs: 2318824 (2292/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m12s, execs: 2325079 (2086/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m15s, execs: 2333690 (2870/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m18s, execs: 2343205 (3173/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m21s, execs: 2350934 (2576/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m24s, execs: 2367391 (5486/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m27s, execs: 2378887 (3832/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m30s, execs: 2389084 (3399/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m33s, execs: 2398600 (3171/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m36s, execs: 2408025 (3143/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m39s, execs: 2430014 (7329/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m42s, execs: 2442931 (4304/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m45s, execs: 2456936 (4669/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m48s, execs: 2468726 (3931/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m51s, execs: 2477510 (2927/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m54s, execs: 2495831 (6109/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 5m57s, execs: 2509609 (4592/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m0s, execs: 2519546 (3312/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m3s, execs: 2531493 (3984/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m6s, execs: 2547089 (5199/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m9s, execs: 2560473 (4462/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m12s, execs: 2575746 (5091/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m15s, execs: 2586785 (3679/sec), new interesting: 34 (total: 361)
fuzz: elapsed: 6m18s, execs: 2596430 (3215/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m21s, execs: 2607816 (3793/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m24s, execs: 2620821 (4337/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m27s, execs: 2629309 (2829/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m30s, execs: 2637243 (2645/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m33s, execs: 2646588 (3114/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m36s, execs: 2658129 (3843/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m39s, execs: 2674789 (5551/sec), new interesting: 35 (total: 362)
fuzz: elapsed: 6m42s, execs: 2695117 (6786/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 6m45s, execs: 2722801 (9230/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 6m48s, execs: 2746844 (8015/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 6m51s, execs: 2764942 (6032/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 6m54s, execs: 2788672 (7909/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 6m57s, execs: 2820950 (10762/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m0s, execs: 2860285 (13113/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m3s, execs: 2879232 (6314/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m6s, execs: 2902650 (7803/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m9s, execs: 2944143 (13837/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m12s, execs: 2987317 (14393/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m15s, execs: 3020607 (11091/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m18s, execs: 3064658 (14682/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m21s, execs: 3105044 (13466/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m24s, execs: 3143172 (12710/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m27s, execs: 3166010 (7612/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m30s, execs: 3184837 (6277/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m33s, execs: 3201365 (5509/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m36s, execs: 3219787 (6138/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m39s, execs: 3252237 (10821/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m42s, execs: 3283088 (10283/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m45s, execs: 3327663 (14863/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m48s, execs: 3372611 (14984/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m51s, execs: 3413387 (13575/sec), new interesting: 36 (total: 363)
fuzz: elapsed: 7m54s, execs: 3455510 (14057/sec), new interesting: 37 (total: 364)
fuzz: elapsed: 7m57s, execs: 3489103 (11197/sec), new interesting: 37 (total: 364)
fuzz: elapsed: 8m0s, execs: 3521296 (10732/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m3s, execs: 3543224 (7308/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m6s, execs: 3574204 (10329/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m9s, execs: 3602547 (9448/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m12s, execs: 3637757 (11735/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m15s, execs: 3670501 (10915/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m18s, execs: 3697016 (8838/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m21s, execs: 3720305 (7765/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m24s, execs: 3750453 (10047/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m27s, execs: 3773356 (7637/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m30s, execs: 3798243 (8293/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m33s, execs: 3833302 (11685/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m36s, execs: 3851214 (5970/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m39s, execs: 3863961 (4250/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m42s, execs: 3875640 (3893/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m45s, execs: 3887689 (4017/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m48s, execs: 3900791 (4367/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m51s, execs: 3908721 (2643/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m54s, execs: 3922995 (4757/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 8m57s, execs: 3933136 (3380/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m0s, execs: 3945154 (4006/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m3s, execs: 3959054 (4634/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m6s, execs: 3974485 (5144/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m9s, execs: 3996595 (7372/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m12s, execs: 4012652 (5352/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m15s, execs: 4026031 (4461/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m18s, execs: 4037546 (3837/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m21s, execs: 4050503 (4320/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m24s, execs: 4064708 (4735/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m27s, execs: 4082250 (5847/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m30s, execs: 4092710 (3487/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m33s, execs: 4105508 (4267/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m36s, execs: 4120943 (5140/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m39s, execs: 4128482 (2510/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m42s, execs: 4135496 (2343/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m45s, execs: 4143240 (2581/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m48s, execs: 4152102 (2954/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m51s, execs: 4161915 (3271/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m54s, execs: 4175490 (4526/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 9m57s, execs: 4196596 (7035/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m0s, execs: 4213733 (5713/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m3s, execs: 4246343 (10871/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m6s, execs: 4286857 (13503/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m9s, execs: 4338140 (17090/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m12s, execs: 4390463 (17432/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m15s, execs: 4441833 (17138/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m18s, execs: 4490772 (16309/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m21s, execs: 4528046 (12426/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m24s, execs: 4559109 (10352/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m27s, execs: 4598380 (13078/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m30s, execs: 4638418 (13359/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m33s, execs: 4665347 (8975/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m36s, execs: 4677116 (3925/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m39s, execs: 4688595 (3826/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m42s, execs: 4706108 (5837/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m45s, execs: 4741044 (11642/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m48s, execs: 4766113 (8357/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m51s, execs: 4781621 (5170/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m54s, execs: 4797475 (5282/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 10m57s, execs: 4807161 (3230/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m0s, execs: 4826254 (6367/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m3s, execs: 4837176 (3641/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m6s, execs: 4852216 (5011/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m9s, execs: 4866648 (4812/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m12s, execs: 4879819 (4389/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m15s, execs: 4897009 (5715/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m18s, execs: 4914722 (5921/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m21s, execs: 4935362 (6881/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m24s, execs: 4962419 (9014/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m27s, execs: 4974531 (4037/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m30s, execs: 4990150 (5210/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m33s, execs: 5017867 (9240/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m36s, execs: 5045728 (9288/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m39s, execs: 5072618 (8960/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m42s, execs: 5088566 (5314/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m45s, execs: 5105634 (5692/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m48s, execs: 5125603 (6658/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m51s, execs: 5140675 (5017/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m54s, execs: 5167364 (8907/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 11m57s, execs: 5188587 (7075/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m0s, execs: 5207789 (6402/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m3s, execs: 5223514 (5240/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m6s, execs: 5240693 (5728/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m9s, execs: 5262036 (7112/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m12s, execs: 5272246 (3404/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m15s, execs: 5290647 (6134/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m18s, execs: 5303270 (4206/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m21s, execs: 5319445 (5393/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m24s, execs: 5353007 (11191/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m27s, execs: 5372217 (6400/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m30s, execs: 5385455 (4411/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m33s, execs: 5401443 (5333/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m36s, execs: 5425535 (8031/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m39s, execs: 5455328 (9933/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m42s, execs: 5494569 (13077/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m45s, execs: 5529084 (11507/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m48s, execs: 5560595 (10501/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m51s, execs: 5595026 (11472/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m54s, execs: 5627794 (10931/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 12m57s, execs: 5684702 (18964/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m0s, execs: 5760538 (25286/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m3s, execs: 5833908 (24449/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m6s, execs: 5899335 (21809/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m9s, execs: 5965670 (22117/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m12s, execs: 6016459 (16930/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m15s, execs: 6075529 (19686/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m18s, execs: 6119128 (14533/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m21s, execs: 6155329 (12067/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m24s, execs: 6179956 (8211/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m27s, execs: 6202616 (7553/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m30s, execs: 6224867 (7409/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m33s, execs: 6248617 (7925/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m36s, execs: 6280955 (10776/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m39s, execs: 6316962 (12001/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m42s, execs: 6344519 (9190/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m45s, execs: 6375866 (10446/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m48s, execs: 6402209 (8782/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m51s, execs: 6433101 (10300/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m54s, execs: 6472379 (13092/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 13m57s, execs: 6515900 (14503/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m0s, execs: 6557284 (13797/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m3s, execs: 6602002 (14907/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m6s, execs: 6651071 (16356/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m9s, execs: 6698371 (15768/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m12s, execs: 6750780 (17470/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m15s, execs: 6803144 (17450/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m18s, execs: 6864058 (20303/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m21s, execs: 6919010 (18317/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m24s, execs: 6966189 (15727/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m27s, execs: 7025782 (19871/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m30s, execs: 7102758 (25653/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m33s, execs: 7179362 (25540/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m36s, execs: 7243696 (21432/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m39s, execs: 7290533 (15611/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m42s, execs: 7332245 (13912/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m45s, execs: 7375475 (14407/sec), new interesting: 38 (total: 365)
fuzz: elapsed: 14m48s, execs: 7415642 (13389/sec), new interesting: 39 (total: 366)
fuzz: elapsed: 14m51s, execs: 7464593 (16320/sec), new interesting: 39 (total: 366)
fuzz: elapsed: 14m54s, execs: 7510733 (15377/sec), new interesting: 39 (total: 366)
fuzz: elapsed: 14m57s, execs: 7554826 (14701/sec), new interesting: 39 (total: 366)
fuzz: elapsed: 15m0s, execs: 7599743 (14974/sec), new interesting: 39 (total: 366)
fuzz: elapsed: 15m0s, execs: 7599743 (0/sec), new interesting: 39 (total: 366)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/propagation	901.015s
      904.87 real      1998.08 user       104.51 sys
           548372480  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
              200745  page reclaims
                7261  page faults
                   0  swaps
