variant scenario | B/req mean p50 p99 max | objs/req mean | delta_vs_plain B | ratio | first_req_B | one_time_init_heap | retained_over_N (per req) | live_in_request_over_end | diag: tainted vulns event_bytes owner_values owner_charged drops | end gauges pv/charged/permits/annotations/evsrc/bindings
woven-s100         safe      |       13404     13400     13416     19088 |   153.0 (+72) |      +5880 |  1.78x |  14268960 |  14254920 |   39272 (19.6) |      7144 | False 0 0 23 1128 {} | 0/0/0/0/0/0
woven-s100         typical   |       33570     33384     33416     72856 |   265.0 (+183) |     +25361 |  4.09x |  14374072 |  14270632 |   49960 (25.0) |      8408 | True 0 0 35 2392 {} | 0/0/0/0/0/0
woven-s100         typical49 |       18032     18032     18032     18144 |   143.0 (+61) |      +9823 |  2.20x |  14284904 |  14266568 |   39480 (19.7) |      7256 | False 0 0 3 1160 {} | 0/0/0/0/0/0
woven-s100         worst     |    12073556  12084024  12121080  12121168 |  9874.9 (+8726) |   +6767806 |  2.28x |  26386280 |  14272624 |   19456 (64.9) |   2102424 | True 0 0 4096 2094048 {'Full': 11767, 'Bytes': 244} | 0/0/0/0/0/0
woven-s100         overcap   |     5489940   5489912   5490136   5495488 |  1596.1 (+447) |    +184190 |  1.03x |  19763512 |  14273752 |   13720 (45.7) |    123944 | False 0 0 3 114696 {} | 0/0/0/0/0/0
woven-s100-nodedup typical   |       45407     45088     49896     93720 |   324.1 (+242) |     +37198 |  5.53x |  14384456 |  14281168 |   44816 (22.4) |     15784 | True 1 1957 35 2392 {} | 0/0/0/0/0/0
woven-s100-nodedup worst     |    12133062  12140312  12188016  12219496 | 10255.5 (+9107) |   +6827312 |  2.29x |  26452304 |  14287784 |   23736 (79.1) |   2133848 | True 2 4137 4096 2094048 {'Full': 11767, 'Bytes': 244} | 0/0/0/0/0/0
woven-saturated    typical   |       45416     45088     49896     93720 |   324.2 (+242) |     +37207 |  5.53x |  14379664 |  14282032 |   39416 (19.7) |     15768 | True 1 1957 35 2392 {} | 0/0/0/0/0/0
woven-saturated    typical49 |       18032     18032     18032     18144 |   143.0 (+61) |      +9823 |  2.20x |  14290320 |  14271920 |   33376 (16.7) |      7256 | False 0 0 3 1160 {} | 0/0/0/0/0/0
woven-saturated    worst     |    13088984  13093624  13227864  13227944 | 11804.2 (+10655) |   +7783234 |  2.47x |  27519736 |  14282696 |   13928 (46.4) |   2483672 | True 64 19221 4096 2094048 {'Full': 11767, 'Bytes': 244} | 0/0/0/0/0/0
woven-saturated    overcap   |     5489972   5489912   5490248   5495488 |  1596.2 (+448) |    +184222 |  1.03x |  19746336 |  14255152 |   29336 (97.8) |    123944 | False 0 0 3 114696 {} | 0/0/0/0/0/0
woven-defaults     typical   |       18767     12000     33400     72744 |   146.9 (+65) |     +10558 |  2.29x |     13640 |      1272 |   38840 (19.4) |      8392 | True 0 0 35 2392 {} | 0/0/0/0/0/0
woven-defaults     worst     |     7386361   5309496  12123504  12160560 |  3833.9 (+2685) |   +2080611 |  1.39x |  26401760 |  14277528 |   14320 (47.7) |   2102664 | True 0 0 4096 2094048 {'Full': 11767, 'Bytes': 244} | 0/0/0/0/0/0
