0.1s tree=36MB top=[(33, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=41MB top=[(39, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.3s tree=75MB top=[(56, ('orchestrion:tool orchestrion', '')), (15, ('(compile)', '')), (1, ('orchestrion:1320 go', ''))]
3.5s tree=194MB top=[(135, ('compile', 'runtime')), (56, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
4.7s tree=105MB top=[(56, ('orchestrion:tool orchestrion', '')), (24, ('(compile)', '')), (15, ('(compile)', ''))]
5.9s tree=340MB top=[(94, ('compile', 'reflect')), (73, ('compile', 'crypto/internal/fips140/nistec/fiat')), (58, ('orchestrion:tool orchestrion', ''))]
7.5s tree=520MB top=[(131, ('(compile)', '')), (116, ('(compile)', '')), (96, ('(compile)', ''))]
8.9s tree=819MB top=[(123, ('compile', 'github.com/json-iterator/go')), (102, ('compile', 'github.com/klauspost/compress/s2')), (98, ('(compile)', ''))]
10.4s tree=1053MB top=[(145, ('compile', 'google.golang.org/protobuf/internal/impl')), (109, ('(compile)', '')), (93, ('(compile)', ''))]
11.9s tree=526MB top=[(202, ('(compile)', '')), (143, ('(compile)', '')), (115, ('compile', 'net/http'))]
13.5s tree=252MB top=[(61, ('orchestrion:tool orchestrion', '')), (40, ('(compile)', '')), (36, ('compile', 'github.com/nats-io/nats.go'))]
14.8s tree=788MB top=[(239, ('compile', 'github.com/nats-io/nats-server/v2/server')), (130, ('(compile)', '')), (104, ('(compile)', ''))]
15.9s tree=587MB top=[(306, ('compile', 'github.com/nats-io/nats-server/v2/server')), (216, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (61, ('orchestrion:tool orchestrion', ''))]
17.0s tree=544MB top=[(479, ('compile', 'github.com/nats-io/nats-server/v2/server')), (61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
