0.1s tree=34MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=155MB top=[(50, ('orchestrion:tool orchestrion', '')), (26, ('(compile)', '')), (23, ('(compile)', ''))]
2.3s tree=58MB top=[(55, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
4.1s tree=509MB top=[(122, ('(compile)', '')), (92, ('(compile)', '')), (69, ('(compile)', ''))]
5.5s tree=789MB top=[(131, ('(compile)', '')), (127, ('(compile)', '')), (104, ('(compile)', ''))]
6.8s tree=859MB top=[(142, ('compile', 'google.golang.org/protobuf/internal/impl')), (124, ('(compile)', '')), (122, ('(compile)', ''))]
8.1s tree=585MB top=[(208, ('(compile)', '')), (135, ('compile', 'github.com/DataDog/datadog-agent/pkg/proto/pbgo/trace')), (132, ('(compile)', ''))]
9.4s tree=525MB top=[(128, ('compile', 'github.com/nats-io/nats-server/v2/server')), (112, ('(compile)', '')), (111, ('compile', 'github.com/nats-io/nats.go'))]
10.7s tree=520MB top=[(232, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (44, ('compile', 'github.com/DataDog/dd-trace-go/v2/instrumentation/appsec/emitter/grpcsec'))]
11.9s tree=517MB top=[(379, ('compile', 'github.com/nats-io/nats-server/v2/server')), (74, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (60, ('orchestrion:tool orchestrion', ''))]
13.0s tree=804MB top=[(740, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
14.1s tree=176MB top=[(60, ('orchestrion:tool orchestrion', '')), (56, ('compile', 'github.com/DataDog/orchestrion/internal/goproxy')), (56, ('(compile)', ''))]
15.1s tree=63MB top=[(60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
16.2s tree=122MB top=[(60, ('orchestrion:tool orchestrion', '')), (31, ('(go)', '')), (26, ('orchestrion:go build', ''))]
17.3s tree=594MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (35, ('orchestrion:build -toolexec', ''))]
18.6s tree=714MB top=[(61, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
19.7s tree=455MB top=[(232, ('orchestrion-toolexec/compile', 'runtime')), (76, ('compile', 'runtime')), (60, ('orchestrion:tool orchestrion', ''))]
20.8s tree=228MB top=[(60, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (38, ('orchestrion:build -toolexec', ''))]
22.2s tree=1152MB top=[(87, ('(compile)', '')), (71, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
23.4s tree=688MB top=[(60, ('orchestrion:tool orchestrion', '')), (51, ('orchestrion-toolexec/compile', 'golang.org/x/exp/rand')), (44, ('orchestrion:go build', ''))]
24.7s tree=1372MB top=[(127, ('(compile)', '')), (120, ('orchestrion-toolexec/compile', 'golang.org/x/tools/internal/stdlib')), (106, ('orchestrion:', ''))]
26.5s tree=1437MB top=[(124, ('orchestrion-toolexec/compile', 'go/types')), (99, ('compile', 'go/types')), (60, ('orchestrion:tool orchestrion', ''))]
28.1s tree=1464MB top=[(158, ('compile', 'go/types')), (124, ('orchestrion-toolexec/compile', 'go/types')), (116, ('(compile)', ''))]
29.4s tree=829MB top=[(110, ('(compile)', '')), (84, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
30.4s tree=575MB top=[(339, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (51, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff'))]
31.5s tree=1204MB top=[(1020, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
32.5s tree=1927MB top=[(1743, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
33.8s tree=3158MB top=[(2956, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
34.9s tree=6436MB top=[(6251, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
36.0s tree=8426MB top=[(8242, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
37.2s tree=8493MB top=[(8308, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
38.3s tree=9870MB top=[(9686, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
39.4s tree=10637MB top=[(10452, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
40.5s tree=11375MB top=[(11191, ('orchestrion:go build', '')), (60, ('orchestrion:tool orchestrion', '')), (41, ('orchestrion-toolexec/compile', 'main'))]
