54.4s tree=620MB top=[(76, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (59, ('orchestrion:tool orchestrion', ''))]
55.5s tree=657MB top=[(76, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (59, ('orchestrion:tool orchestrion', ''))]
56.6s tree=706MB top=[(76, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (76, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (63, ('orchestrion:go build', ''))]
57.7s tree=559MB top=[(76, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (76, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (67, ('orchestrion:go build', ''))]
58.8s tree=2478MB top=[(391, ('link', '')), (381, ('link', '')), (380, ('link', ''))]
60.0s tree=3022MB top=[(391, ('link', '')), (381, ('link', '')), (380, ('link', ''))]
61.1s tree=3280MB top=[(413, ('link', '')), (408, ('link', '')), (403, ('link', ''))]
62.3s tree=1041MB top=[(408, ('link', '')), (209, ('(dsymutil)', '')), (83, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace'))]
63.4s tree=890MB top=[(452, ('(link)', '')), (83, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', ''))]
64.5s tree=320MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
65.6s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
66.6s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
67.7s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
68.8s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
69.9s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
70.9s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
72.0s tree=321MB top=[(84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
73.0s tree=715MB top=[(420, ('link', '')), (84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', ''))]
74.1s tree=752MB top=[(457, ('link', '')), (84, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', ''))]
75.1s tree=265MB top=[(85, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', ''))]
76.2s tree=268MB top=[(68, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', '')), (50, ('orchestrion:build -toolexec', ''))]
77.3s tree=231MB top=[(68, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', '')), (50, ('orchestrion:build -toolexec', ''))]
