0.1s tree=35MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.1s tree=39MB top=[(36, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.3s tree=59MB top=[(53, ('orchestrion:tool orchestrion', '')), (3, ('(compile)', '')), (1, ('orchestrion:1320 go', ''))]
3.3s tree=56MB top=[(53, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
4.6s tree=207MB top=[(100, ('(compile)', '')), (55, ('orchestrion:tool orchestrion', '')), (18, ('(compile)', ''))]
5.9s tree=516MB top=[(124, ('compile', 'net')), (114, ('(compile)', '')), (78, ('(compile)', ''))]
7.5s tree=662MB top=[(106, ('(compile)', '')), (96, ('compile', 'github.com/json-iterator/go')), (79, ('(compile)', ''))]
8.9s tree=951MB top=[(137, ('(compile)', '')), (118, ('compile', 'google.golang.org/protobuf/internal/impl')), (99, ('compile', 'encoding/gob'))]
10.1s tree=986MB top=[(175, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (166, ('compile', 'go/types')), (141, ('compile', 'github.com/urfave/cli/v2'))]
11.2s tree=355MB top=[(210, ('(compile)', '')), (58, ('orchestrion:tool orchestrion', '')), (54, ('(compile)', ''))]
12.3s tree=373MB top=[(199, ('compile', 'github.com/nats-io/nats-server/v2/server')), (77, ('(compile)', '')), (58, ('orchestrion:tool orchestrion', ''))]
13.4s tree=453MB top=[(309, ('compile', 'github.com/nats-io/nats-server/v2/server')), (81, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (59, ('orchestrion:tool orchestrion', ''))]
14.5s tree=732MB top=[(670, ('compile', 'github.com/nats-io/nats-server/v2/server')), (59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
15.5s tree=125MB top=[(63, ('compile', 'github.com/DataDog/orchestrion/internal/jobserver')), (59, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
16.6s tree=614MB top=[(544, ('link', '')), (59, ('orchestrion:tool orchestrion', '')), (7, ('(clang)', ''))]
17.6s tree=80MB top=[(59, ('orchestrion:tool orchestrion', '')), (17, ('orchestrion:go build', '')), (1, ('orchestrion:1320 go', ''))]
18.8s tree=235MB top=[(59, ('orchestrion:tool orchestrion', '')), (42, ('orchestrion:go build', '')), (28, ('orchestrion:build -toolexec', ''))]
20.1s tree=580MB top=[(59, ('orchestrion:tool orchestrion', '')), (42, ('orchestrion:go build', '')), (37, ('orchestrion:', ''))]
21.2s tree=427MB top=[(82, ('orchestrion-toolexec/compile', 'runtime')), (59, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
22.3s tree=873MB top=[(299, ('compile', 'runtime')), (228, ('orchestrion-toolexec/compile', 'runtime')), (59, ('orchestrion:tool orchestrion', ''))]
23.5s tree=809MB top=[(59, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (40, ('orchestrion-toolexec/compile', 'example.com/idioms/pnamed'))]
24.6s tree=704MB top=[(66, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
25.6s tree=703MB top=[(96, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', '')), (53, ('orchestrion:', ''))]
26.7s tree=593MB top=[(59, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (40, ('orchestrion-toolexec/compile', 'example.com/idioms/pnamed'))]
