0.1s tree=35MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=39MB top=[(36, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.3s tree=199MB top=[(82, ('(compile)', '')), (53, ('orchestrion:tool orchestrion', '')), (36, ('(compile)', ''))]
3.6s tree=102MB top=[(56, ('orchestrion:tool orchestrion', '')), (24, ('(compile)', '')), (17, ('(compile)', ''))]
4.8s tree=157MB top=[(92, ('(compile)', '')), (59, ('orchestrion:tool orchestrion', '')), (2, ('(asm)', ''))]
6.4s tree=826MB top=[(142, ('(compile)', '')), (119, ('(compile)', '')), (113, ('(compile)', ''))]
8.0s tree=1062MB top=[(146, ('compile', 'google.golang.org/protobuf/internal/impl')), (142, ('(compile)', '')), (113, ('(compile)', ''))]
9.1s tree=442MB top=[(185, ('(compile)', '')), (166, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (61, ('orchestrion:tool orchestrion', ''))]
10.5s tree=353MB top=[(63, ('(compile)', '')), (61, ('orchestrion:tool orchestrion', '')), (54, ('(compile)', ''))]
11.6s tree=462MB top=[(230, ('compile', 'github.com/nats-io/nats-server/v2/server')), (89, ('(compile)', '')), (78, ('(compile)', ''))]
12.7s tree=519MB top=[(352, ('compile', 'github.com/nats-io/nats-server/v2/server')), (102, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (61, ('orchestrion:tool orchestrion', ''))]
13.9s tree=797MB top=[(733, ('compile', 'github.com/nats-io/nats-server/v2/server')), (61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
15.0s tree=191MB top=[(127, ('(compile)', '')), (61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
16.0s tree=64MB top=[(61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
17.1s tree=125MB top=[(61, ('orchestrion:tool orchestrion', '')), (32, ('orchestrion:build -toolexec', '')), (28, ('orchestrion:go build', ''))]
18.2s tree=200MB top=[(61, ('orchestrion:tool orchestrion', '')), (52, ('orchestrion:build -toolexec', '')), (31, ('orchestrion:go build', ''))]
19.2s tree=587MB top=[(61, ('orchestrion:tool orchestrion', '')), (56, ('orchestrion:build -toolexec', '')), (42, ('orchestrion:go build', ''))]
20.8s tree=467MB top=[(62, ('orchestrion:build -toolexec', '')), (61, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
22.0s tree=541MB top=[(233, ('orchestrion-toolexec/compile', 'runtime')), (137, ('compile', 'runtime')), (62, ('orchestrion:build -toolexec', ''))]
23.5s tree=336MB top=[(62, ('orchestrion:build -toolexec', '')), (61, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
25.2s tree=751MB top=[(77, ('(compile)', '')), (64, ('orchestrion:build -toolexec', '')), (61, ('orchestrion:tool orchestrion', ''))]
26.7s tree=732MB top=[(81, ('(compile)', '')), (66, ('compile', 'net')), (65, ('orchestrion:build -toolexec', ''))]
28.1s tree=1241MB top=[(133, ('(compile)', '')), (129, ('(compile)', '')), (119, ('orchestrion:', ''))]
29.5s tree=1092MB top=[(110, ('(compile)', '')), (102, ('(compile)', '')), (66, ('orchestrion:build -toolexec', ''))]
31.1s tree=1040MB top=[(94, ('(compile)', '')), (66, ('orchestrion:build -toolexec', '')), (61, ('orchestrion:tool orchestrion', ''))]
32.3s tree=483MB top=[(75, ('(compile)', '')), (66, ('orchestrion:build -toolexec', '')), (61, ('orchestrion:tool orchestrion', ''))]
