52.5s tree=856MB top=[(699, ('clang', '')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
53.5s tree=180MB top=[(62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (39, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3'))]
54.6s tree=237MB top=[(95, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
55.7s tree=249MB top=[(108, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
56.8s tree=249MB top=[(108, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
58.0s tree=250MB top=[(108, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
59.1s tree=250MB top=[(108, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
60.2s tree=250MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
61.3s tree=250MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
62.5s tree=250MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
63.6s tree=250MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
64.7s tree=303MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
65.9s tree=333MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
67.1s tree=298MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
68.2s tree=314MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/mattn/go-sqlite3')), (62, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', ''))]
