0.1s tree=34MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=48MB top=[(44, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('(go)', ''))]
2.3s tree=329MB top=[(272, ('compile', 'runtime')), (54, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
3.9s tree=424MB top=[(76, ('(compile)', '')), (70, ('(compile)', '')), (57, ('(compile)', ''))]
5.6s tree=657MB top=[(118, ('compile', 'net')), (112, ('(compile)', '')), (90, ('compile', 'encoding/json/v2'))]
7.1s tree=933MB top=[(116, ('(compile)', '')), (114, ('(compile)', '')), (114, ('(compile)', ''))]
8.5s tree=762MB top=[(185, ('(compile)', '')), (183, ('(compile)', '')), (172, ('(compile)', ''))]
9.8s tree=444MB top=[(75, ('(compile)', '')), (68, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', ''))]
11.0s tree=399MB top=[(241, ('compile', 'github.com/nats-io/nats-server/v2/server')), (94, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
12.2s tree=622MB top=[(378, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (55, ('(compile)', ''))]
13.3s tree=849MB top=[(785, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
14.4s tree=98MB top=[(60, ('orchestrion:tool orchestrion', '')), (35, ('(compile)', '')), (1, ('orchestrion:1320 go', ''))]
15.5s tree=754MB top=[(542, ('link', '')), (132, ('(ld)', '')), (60, ('orchestrion:tool orchestrion', ''))]
16.5s tree=118MB top=[(60, ('orchestrion:tool orchestrion', '')), (29, ('(go)', '')), (26, ('orchestrion:go build', ''))]
17.6s tree=150MB top=[(60, ('orchestrion:tool orchestrion', '')), (33, ('orchestrion:go build', '')), (27, ('orchestrion:build -toolexec', ''))]
19.1s tree=986MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (38, ('orchestrion:', ''))]
20.2s tree=388MB top=[(251, ('orchestrion-toolexec/compile', 'runtime')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
21.2s tree=136MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (29, ('orchestrion:build -toolexec', ''))]
22.3s tree=317MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (40, ('orchestrion-toolexec/compile', 'io'))]
23.4s tree=176MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (38, ('orchestrion-toolexec/compile', 'os'))]
24.5s tree=195MB top=[(60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', '')), (38, ('orchestrion:', ''))]
25.6s tree=245MB top=[(108, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
26.7s tree=245MB top=[(108, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
27.8s tree=246MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
28.8s tree=246MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
29.9s tree=246MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
31.0s tree=246MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
32.0s tree=246MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
33.1s tree=246MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
34.2s tree=421MB top=[(109, ('orchestrion-toolexec/compile', 'github.com/samber/lo')), (60, ('orchestrion:tool orchestrion', '')), (43, ('orchestrion:go build', ''))]
35.2s tree=63MB top=[(60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
