0.1s tree=33MB top=[(30, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.1s tree=51MB top=[(47, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('compile', 'internal/goexperiment'))]
2.2s tree=202MB top=[(144, ('compile', 'runtime')), (55, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
3.4s tree=318MB top=[(96, ('(compile)', '')), (88, ('(compile)', '')), (56, ('orchestrion:tool orchestrion', ''))]
4.6s tree=745MB top=[(137, ('(compile)', '')), (95, ('(compile)', '')), (92, ('(compile)', ''))]
6.3s tree=329MB top=[(101, ('(compile)', '')), (65, ('(compile)', '')), (58, ('orchestrion:tool orchestrion', ''))]
7.5s tree=1151MB top=[(187, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (179, ('compile', 'google.golang.org/protobuf/internal/impl')), (143, ('compile', 'crypto/tls'))]
8.7s tree=598MB top=[(118, ('(compile)', '')), (92, ('(compile)', '')), (86, ('compile', 'net/http'))]
10.1s tree=668MB top=[(121, ('compile', 'github.com/dave/dst/decorator')), (106, ('(compile)', '')), (74, ('(compile)', ''))]
11.3s tree=378MB top=[(232, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (29, ('compile', 'github.com/DataDog/dd-trace-go/v2/internal/appsec/listener/sqlsec'))]
12.5s tree=681MB top=[(467, ('compile', 'github.com/nats-io/nats-server/v2/server')), (151, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (60, ('orchestrion:tool orchestrion', ''))]
13.6s tree=896MB top=[(832, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
14.7s tree=81MB top=[(60, ('orchestrion:tool orchestrion', '')), (18, ('compile', 'github.com/DataDog/orchestrion/internal/cmd')), (1, ('orchestrion:1320 go', ''))]
15.8s tree=575MB top=[(512, ('link', '')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
16.9s tree=63MB top=[(60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
17.9s tree=128MB top=[(60, ('orchestrion:tool orchestrion', '')), (36, ('orchestrion:build -toolexec', '')), (28, ('orchestrion:go build', ''))]
19.0s tree=164MB top=[(60, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:build -toolexec', '')), (30, ('orchestrion:go build', ''))]
20.1s tree=184MB top=[(60, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:build -toolexec', '')), (32, ('orchestrion:go build', ''))]
21.2s tree=588MB top=[(60, ('orchestrion:tool orchestrion', '')), (46, ('orchestrion:build -toolexec', '')), (41, ('orchestrion:go build', ''))]
22.6s tree=603MB top=[(60, ('orchestrion:tool orchestrion', '')), (46, ('orchestrion:build -toolexec', '')), (41, ('orchestrion:go build', ''))]
24.2s tree=565MB top=[(60, ('orchestrion:tool orchestrion', '')), (49, ('orchestrion:build -toolexec', '')), (41, ('orchestrion:go build', ''))]
25.4s tree=303MB top=[(146, ('orchestrion-toolexec/compile', 'runtime')), (60, ('orchestrion:tool orchestrion', '')), (51, ('orchestrion:build -toolexec', ''))]
26.6s tree=659MB top=[(260, ('orchestrion-toolexec/compile', 'runtime')), (242, ('compile', 'runtime')), (60, ('orchestrion:tool orchestrion', ''))]
27.8s tree=401MB top=[(60, ('orchestrion:tool orchestrion', '')), (51, ('orchestrion:build -toolexec', '')), (41, ('orchestrion:go build', ''))]
29.7s tree=615MB top=[(88, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (54, ('orchestrion:build -toolexec', ''))]
31.1s tree=590MB top=[(60, ('orchestrion:tool orchestrion', '')), (58, ('orchestrion-toolexec/compile', 'os')), (55, ('orchestrion:build -toolexec', ''))]
32.9s tree=849MB top=[(82, ('compile', 'net')), (60, ('orchestrion:tool orchestrion', '')), (55, ('orchestrion:build -toolexec', ''))]
