0.1s tree=38MB top=[(36, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
1.3s tree=41MB top=[(38, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
2.4s tree=70MB top=[(53, ('go', '')), (13, ('(compile)', '')), (1, ('timeout', ''))]
3.6s tree=249MB top=[(193, ('compile', 'runtime')), (53, ('go', '')), (1, ('timeout', ''))]
4.8s tree=174MB top=[(56, ('(compile)', '')), (53, ('go', '')), (19, ('(compile)', ''))]
6.0s tree=184MB top=[(59, ('(compile)', '')), (55, ('go', '')), (30, ('(compile)', ''))]
7.2s tree=731MB top=[(130, ('compile', 'net')), (120, ('compile', 'math/big')), (96, ('(compile)', ''))]
8.8s tree=698MB top=[(136, ('(compile)', '')), (84, ('(compile)', '')), (83, ('(compile)', ''))]
10.0s tree=827MB top=[(194, ('(compile)', '')), (123, ('(compile)', '')), (118, ('compile', 'go.opentelemetry.io/collector/pdata/internal'))]
11.1s tree=354MB top=[(133, ('compile', 'net/http')), (115, ('(compile)', '')), (59, ('go', ''))]
12.2s tree=281MB top=[(198, ('compile', 'github.com/ugorji/go/codec')), (59, ('go', '')), (18, ('(compile)', ''))]
13.3s tree=421MB top=[(340, ('compile', 'github.com/ugorji/go/codec')), (59, ('go', '')), (18, ('(compile)', ''))]
14.5s tree=671MB top=[(609, ('compile', 'github.com/ugorji/go/codec')), (59, ('go', '')), (1, ('timeout', ''))]
15.6s tree=1049MB top=[(987, ('compile', 'github.com/ugorji/go/codec')), (59, ('go', '')), (1, ('timeout', ''))]
16.7s tree=62MB top=[(59, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
17.8s tree=523MB top=[(461, ('link', '')), (59, ('go', '')), (1, ('timeout', ''))]
18.8s tree=535MB top=[(473, ('link', '')), (59, ('go', '')), (1, ('timeout', ''))]
