0.1s tree=34MB top=[(31, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.1s tree=48MB top=[(46, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.2s tree=302MB top=[(243, ('compile', 'runtime')), (56, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
3.4s tree=476MB top=[(102, ('(compile)', '')), (94, ('(compile)', '')), (58, ('orchestrion:tool orchestrion', ''))]
4.6s tree=935MB top=[(136, ('(compile)', '')), (135, ('(compile)', '')), (117, ('(compile)', ''))]
6.0s tree=1203MB top=[(174, ('(compile)', '')), (123, ('(compile)', '')), (116, ('(compile)', ''))]
7.1s tree=449MB top=[(132, ('compile', 'net/http')), (111, ('(compile)', '')), (98, ('(compile)', ''))]
8.3s tree=543MB top=[(237, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (44, ('(compile)', ''))]
9.4s tree=545MB top=[(345, ('compile', 'github.com/nats-io/nats-server/v2/server')), (76, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
10.5s tree=816MB top=[(753, ('compile', 'github.com/nats-io/nats-server/v2/server')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
11.6s tree=125MB top=[(61, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
12.6s tree=63MB top=[(60, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
13.7s tree=109MB top=[(60, ('orchestrion:tool orchestrion', '')), (29, ('orchestrion:go build', '')), (16, ('orchestrion:build -toolexec', ''))]
14.7s tree=592MB top=[(60, ('orchestrion:tool orchestrion', '')), (45, ('orchestrion:go build', '')), (35, ('orchestrion:build -toolexec', ''))]
16.2s tree=698MB top=[(60, ('orchestrion:tool orchestrion', '')), (45, ('orchestrion:go build', '')), (39, ('orchestrion:', ''))]
17.3s tree=408MB top=[(261, ('orchestrion-toolexec/compile', 'runtime')), (60, ('orchestrion:tool orchestrion', '')), (45, ('orchestrion:go build', ''))]
18.3s tree=166MB top=[(60, ('orchestrion:tool orchestrion', '')), (45, ('orchestrion:go build', '')), (37, ('orchestrion:build -toolexec', ''))]
20.0s tree=737MB top=[(92, ('(compile)', '')), (64, ('compile', 'reflect')), (60, ('orchestrion:tool orchestrion', ''))]
21.3s tree=792MB top=[(123, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', '')), (47, ('orchestrion-toolexec/compile', 'golang.org/x/exp/rand'))]
22.9s tree=1149MB top=[(114, ('orchestrion:', '')), (111, ('(compile)', '')), (60, ('orchestrion:tool orchestrion', ''))]
25.1s tree=1604MB top=[(81, ('(compile)', '')), (74, ('(compile)', '')), (62, ('orchestrion-toolexec/compile', 'go/types'))]
26.8s tree=1742MB top=[(131, ('(compile)', '')), (124, ('compile', 'go/types')), (116, ('orchestrion-toolexec/compile', 'go/types'))]
27.9s tree=1877MB top=[(208, ('compile', 'go/types')), (127, ('(compile)', '')), (116, ('orchestrion-toolexec/compile', 'go/types'))]
29.3s tree=1680MB top=[(125, ('compile', 'crypto/tls')), (65, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (63, ('orchestrion-toolexec/other', ''))]
30.9s tree=1613MB top=[(130, ('orchestrion-toolexec/compile', 'go.opentelemetry.io/collector/pdata/internal')), (100, ('compile', 'google.golang.org/protobuf/internal/impl')), (78, ('(compile)', ''))]
32.2s tree=1206MB top=[(176, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (130, ('orchestrion-toolexec/compile', 'go.opentelemetry.io/collector/pdata/internal')), (66, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog'))]
33.4s tree=1189MB top=[(126, ('(compile)', '')), (114, ('orchestrion-toolexec/compile', 'net/http')), (87, ('compile', 'net/http'))]
34.7s tree=1181MB top=[(66, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (66, ('orchestrion-toolexec/other', '')), (60, ('orchestrion:tool orchestrion', ''))]
36.0s tree=985MB top=[(67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (66, ('orchestrion-toolexec/other', '')), (62, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff'))]
37.2s tree=766MB top=[(67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (66, ('orchestrion-toolexec/other', '')), (62, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff'))]
38.2s tree=905MB top=[(133, ('orchestrion-toolexec/compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (66, ('orchestrion-toolexec/other', ''))]
39.3s tree=792MB top=[(67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (66, ('orchestrion-toolexec/other', '')), (62, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff'))]
40.6s tree=573MB top=[(67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (62, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (60, ('orchestrion:tool orchestrion', ''))]
41.7s tree=590MB top=[(67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (62, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (60, ('orchestrion:tool orchestrion', ''))]
42.8s tree=704MB top=[(67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (62, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (60, ('orchestrion:tool orchestrion', ''))]
44.0s tree=2602MB top=[(370, ('link', '')), (369, ('link', '')), (368, ('link', ''))]
45.1s tree=2375MB top=[(369, ('link', '')), (368, ('link', '')), (366, ('link', ''))]
46.2s tree=823MB top=[(392, ('link', '')), (68, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog'))]
47.3s tree=405MB top=[(71, ('orchestrion-toolexec/compile', 'golang.org/x/exp/trace')), (67, ('orchestrion-toolexec/compile', 'golang.org/x/exp/slog')), (63, ('orchestrion:go build', ''))]
