0.1s tree=31MB top=[(28, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
1.1s tree=38MB top=[(36, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
2.2s tree=41MB top=[(38, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
3.3s tree=62MB top=[(55, ('go', '')), (3, ('(compile)', '')), (1, ('timeout', ''))]
4.3s tree=58MB top=[(55, ('go', '')), (1, ('timeout', '')), (1, ('time', ''))]
5.7s tree=559MB top=[(125, ('(compile)', '')), (83, ('(compile)', '')), (75, ('(compile)', ''))]
7.1s tree=506MB top=[(135, ('(compile)', '')), (76, ('(compile)', '')), (61, ('go', ''))]
8.7s tree=843MB top=[(129, ('(compile)', '')), (84, ('(compile)', '')), (81, ('(compile)', ''))]
10.1s tree=927MB top=[(186, ('compile', 'go.opentelemetry.io/collector/pdata/internal')), (156, ('compile', 'crypto/tls')), (110, ('compile', 'google.golang.org/protobuf/internal/impl'))]
11.6s tree=470MB top=[(111, ('compile', 'net/http')), (102, ('compile', 'github.com/Shopify/sarama')), (64, ('go', ''))]
12.9s tree=458MB top=[(98, ('(compile)', '')), (96, ('(compile)', '')), (86, ('compile', 'golang.org/x/net/http2'))]
14.0s tree=945MB top=[(155, ('clang', '')), (124, ('(compile)', '')), (107, ('compile', 'github.com/DataDog/dd-trace-go/v2/internal/appsec/listener/sqlsec'))]
15.2s tree=521MB top=[(247, ('clang', '')), (190, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (64, ('go', ''))]
16.2s tree=343MB top=[(260, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
17.3s tree=360MB top=[(277, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
18.4s tree=375MB top=[(292, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
19.4s tree=385MB top=[(302, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
20.5s tree=392MB top=[(309, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
21.5s tree=396MB top=[(313, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
22.6s tree=477MB top=[(394, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
23.7s tree=552MB top=[(469, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
24.8s tree=640MB top=[(557, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
25.8s tree=727MB top=[(644, ('clang', '')), (64, ('go', '')), (16, ('clang', ''))]
26.9s tree=82MB top=[(64, ('go', '')), (15, ('clang', '')), (1, ('timeout', ''))]
28.0s tree=587MB top=[(520, ('link', '')), (64, ('go', '')), (1, ('timeout', ''))]
29.1s tree=755MB top=[(560, ('link', '')), (128, ('dsymutil', '')), (64, ('go', ''))]
30.2s tree=978MB top=[(560, ('link', '')), (351, ('(dsymutil)', '')), (64, ('go', ''))]
31.3s tree=712MB top=[(645, ('link', '')), (64, ('go', '')), (1, ('timeout', ''))]
