0.1s tree=35MB top=[(32, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
1.2s tree=40MB top=[(37, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
2.4s tree=153MB top=[(62, ('(compile)', '')), (55, ('orchestrion:tool orchestrion', '')), (17, ('(compile)', ''))]
3.6s tree=281MB top=[(221, ('compile', 'runtime')), (56, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
4.8s tree=166MB top=[(90, ('(compile)', '')), (57, ('orchestrion:tool orchestrion', '')), (15, ('(clang)', ''))]
6.3s tree=295MB top=[(58, ('orchestrion:tool orchestrion', '')), (50, ('(compile)', '')), (33, ('(compile)', ''))]
8.0s tree=932MB top=[(127, ('(compile)', '')), (112, ('(compile)', '')), (110, ('(compile)', ''))]
9.5s tree=1132MB top=[(116, ('(compile)', '')), (111, ('compile', 'crypto/x509')), (94, ('compile', 'github.com/json-iterator/go'))]
10.8s tree=740MB top=[(172, ('compile', 'go/types')), (144, ('compile', 'google.golang.org/protobuf/internal/impl')), (95, ('(compile)', ''))]
11.9s tree=541MB top=[(147, ('(compile)', '')), (142, ('(compile)', '')), (91, ('(compile)', ''))]
13.1s tree=616MB top=[(223, ('compile', 'github.com/nats-io/nats-server/v2/server')), (85, ('(compile)', '')), (77, ('(compile)', ''))]
14.1s tree=501MB top=[(333, ('compile', 'github.com/nats-io/nats-server/v2/server')), (103, ('compile', 'github.com/DataDog/dd-trace-go/v2/ddtrace/tracer')), (61, ('orchestrion:tool orchestrion', ''))]
15.2s tree=790MB top=[(725, ('compile', 'github.com/nats-io/nats-server/v2/server')), (61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
16.3s tree=138MB top=[(74, ('(compile)', '')), (61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', ''))]
17.3s tree=64MB top=[(61, ('orchestrion:tool orchestrion', '')), (1, ('orchestrion:1320 go', '')), (1, ('orchestrion:-l timeout', ''))]
18.4s tree=95MB top=[(61, ('orchestrion:tool orchestrion', '')), (30, ('orchestrion:go build', '')), (1, ('orchestrion:1320 go', ''))]
19.5s tree=572MB top=[(61, ('orchestrion:tool orchestrion', '')), (44, ('orchestrion:go build', '')), (36, ('orchestrion:build -toolexec', ''))]
20.7s tree=757MB top=[(61, ('orchestrion:tool orchestrion', '')), (61, ('(compile)', '')), (54, ('(compile)', ''))]
21.8s tree=484MB top=[(240, ('orchestrion-toolexec/compile', 'runtime')), (96, ('compile', 'runtime')), (61, ('orchestrion:tool orchestrion', ''))]
23.0s tree=342MB top=[(61, ('orchestrion:tool orchestrion', '')), (55, ('(compile)', '')), (44, ('orchestrion:go build', ''))]
24.5s tree=1071MB top=[(103, ('(compile)', '')), (62, ('compile', 'reflect')), (61, ('orchestrion:tool orchestrion', ''))]
25.7s tree=413MB top=[(61, ('orchestrion:tool orchestrion', '')), (45, ('orchestrion-toolexec/compile', 'golang.org/x/exp/rand')), (44, ('orchestrion:go build', ''))]
26.9s tree=1595MB top=[(129, ('orchestrion-toolexec/compile', 'crypto/internal/fips140/nistec')), (114, ('compile', 'net')), (112, ('(compile)', ''))]
28.4s tree=1003MB top=[(98, ('orchestrion-toolexec/compile', 'go/types')), (88, ('compile', 'go/types')), (61, ('orchestrion:tool orchestrion', ''))]
30.9s tree=2126MB top=[(176, ('(compile)', '')), (98, ('orchestrion:', '')), (61, ('orchestrion:tool orchestrion', ''))]
33.5s tree=1714MB top=[(63, ('(compile)', '')), (61, ('orchestrion:tool orchestrion', '')), (58, ('orchestrion-toolexec/other', ''))]
34.6s tree=474MB top=[(213, ('orchestrion:go build', '')), (75, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (61, ('orchestrion:tool orchestrion', ''))]
35.7s tree=1832MB top=[(1613, ('orchestrion:go build', '')), (75, ('orchestrion-toolexec/compile', 'golang.org/x/exp/apidiff')), (61, ('orchestrion:tool orchestrion', ''))]
36.8s tree=1784MB top=[(1640, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
37.8s tree=2268MB top=[(2124, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
38.9s tree=2918MB top=[(2774, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
40.0s tree=5396MB top=[(5252, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
41.1s tree=7503MB top=[(7359, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
42.2s tree=7896MB top=[(7752, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
43.3s tree=8848MB top=[(8704, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
44.4s tree=9541MB top=[(9396, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
45.6s tree=11720MB top=[(11575, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
46.7s tree=13398MB top=[(13254, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
47.9s tree=13403MB top=[(13258, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
49.2s tree=14328MB top=[(14184, ('orchestrion:go build', '')), (61, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
50.5s tree=10710MB top=[(10570, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
51.7s tree=13125MB top=[(12984, ('orchestrion:go build', '')), (59, ('orchestrion:tool orchestrion', '')), (40, ('orchestrion-toolexec/compile', 'main'))]
53.1s tree=14352MB top=[(14259, ('orchestrion:go build', '')), (44, ('orchestrion:tool orchestrion', '')), (24, ('orchestrion-toolexec/compile', 'main'))]
54.3s tree=15060MB top=[(14967, ('orchestrion:go build', '')), (44, ('orchestrion:tool orchestrion', '')), (24, ('orchestrion-toolexec/compile', 'main'))]
55.4s tree=17545MB top=[(17452, ('orchestrion:go build', '')), (44, ('orchestrion:tool orchestrion', '')), (24, ('orchestrion-toolexec/compile', 'main'))]
56.5s tree=45MB top=[(44, ('orchestrion:tool orchestrion', '')), (0, ('orchestrion:1320 go', '')), (0, ('orchestrion:-l timeout', ''))]
