phase,requests,heap_alloc,heap_inuse,heap_objects,heap_sys,heap_released,stack_inuse,sys,goroutines,numgc,reports,iast_enabled_spans,tainted_hits,permits_used,live_slots,store_values,store_charged,acquire_drops,tombstones,overflow_free,annotations,event_source_bytes,owner_bindings,failures,probe_hits_of_200,elapsed_s
start,0,1422168,2924544,7631,20185088,15237120,786432,28330248,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
warm,10000,1860768,4374528,9238,47120384,30670848,3211264,59529496,6,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
warm,20000,2020328,4456448,9662,55181312,38322176,3538944,68180248,6,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
soak,30000,1998328,4317184,9512,55607296,35872768,3112960,68180248,6,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
soak,40000,2004616,4472832,9576,55803904,39895040,2916352,68180248,6,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
soak,50000,2009512,4554752,9626,56000512,37265408,2719744,68180248,6,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
soak,60000,2012520,4653056,9718,55672832,38600704,3047424,68180248,6,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
soak,70000,1977896,4308992,9463,55803904,37699584,2916352,68180248,6,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
soak,80000,2004920,4423680,9489,55607296,40960000,3112960,68180248,6,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
soak,90000,2037288,4587520,9649,55672832,37249024,3047424,68180248,6,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
soak,100000,2054264,4907008,9947,55640064,39755776,3080192,68180248,6,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
soak,110000,2024680,4587520,9672,55672832,35135488,3047424,68180248,6,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6
soak,120000,1993000,4497408,9593,55640064,36945920,3080192,68245784,6,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2
# panics=7500 late=7500 failures=0
